"Dhin" "Dain" "Bwin" "Erosion" "deltacrest"
"296" 4.042 48.14 37.000 8.084 0.000
"297" 4.342 53.713 37.000 8.684 0.000
"298" 3.142 44.039 37.000 6.284 0.000
"299" 4.742 63.935 37.000 7.113 0.000
"300" 5.142 72.465 37.000 7.713 0.000
"301" 5.642 86.624 37.000 5.642 0.000
"302" 6.142 98.962 37.000 9.213 0.000
"303" 2.542 16.7 37.000 8.347 1.000
"304" 2.842 21.444 37.000 7.344 0.670
"305" 3.142 25.187 37.000 7.943 0.670
"306" 3.442 29.2 37.000 8.543 0.670
"307" 3.742 35.354 37.000 6.608 0.330
"308" 4.042 40.056 37.000 7.058 0.330
"309" 3.442 49.852 37.000 6.884 0.000
"310" 4.342 45.029 37.000 7.508 0.330
"311" 4.742 54.451 37.000 10.273 0.320
"312" 5.142 62.181 37.000 8.874 0.330
"313" 5.642 75.34 37.000 5.642 0.000
"314" 6.142 86.678 37.000 9.337 0.140
"315" 2.542 11.616 37.000 11.616 4.400
"316" 2.842 15.76 37.000 7.673 1.330
"317" 3.142 18.903 37.000 8.272 1.330
"318" 3.442 22.316 37.000 8.871 1.330
"319" 3.742 27.87 37.000 7.601 1.000
"320" 3.742 57.806 37.000 5.613 0.000
"321" 4.042 31.972 37.000 8.050 1.000
"322" 4.342 36.345 37.000 8.499 1.000
"323" 4.742 44.967 37.000 6.398 0.670
"324" 5.142 51.897 37.000 7.938 0.730
"325" 5.642 64.056 37.000 7.629 0.670
"326" 6.142 74.394 37.000 8.128 0.670
"327" 4.042 64.308 37.000 8.084 0.000
"328" 4.342 71.081 37.000 8.684 0.000
"329" 4.742 82.903 37.000 7.113 0.000
"330" 5.142 93.033 37.000 7.713 0.000
"331" 2.542 35.765 37.000 5.084 0.000
"332" 5.642 123.297 37.000 0.000 0.000
"333" 6.142 141.956 37.000 0.000 0.000
"334" 2.542 30.681 37.000 5.084 0.000
"335" 2.842 37.075 37.000 4.263 0.000
"336" 3.142 42.468 37.000 4.713 0.000
"337" 3.442 49.852 37.000 3.442 0.000
"338" 3.742 55.935 37.000 3.742 0.000
"339" 4.042 64.308 37.000 2.021 0.000
"340" 4.342 73.252 37.000 2.171 0.000
"341" 4.742 82.903 37.000 2.371 0.000
"342" 2.842 42.759 37.000 4.263 0.000
"343" 5.142 95.604 37.000 0.000 0.000
"344" 5.642 112.013 37.000 0.000 0.000
"345" 6.142 129.672 37.000 0.000 0.000
"346" 2.542 25.597 37.000 5.084 0.000
"347" 2.842 31.391 37.000 4.263 0.000
"348" 3.142 36.184 37.000 4.713 0.000
"349" 3.442 42.968 37.000 3.442 0.000
"350" 3.742 48.451 37.000 3.742 0.000
"351" 4.042 56.224 37.000 2.021 0.000
"352" 4.342 64.568 37.000 2.171 0.000
"353" 3.142 48.752 37.000 4.713 0.000
"354" 4.742 73.419 37.000 2.371 0.000
"355" 5.142 85.32 37.000 0.000 0.000
"356" 5.642 100.729 37.000 0.000 0.000
"357" 6.142 117.388 37.000 0.000 0.000
"358" 2.542 20.513 37.000 4.976 0.330
"359" 2.842 25.707 37.000 3.497 0.050
"360" 3.142 29.9 37.000 6.062 0.220
"361" 3.442 36.084 37.000 3.442 0.000
"362" 3.742 40.967 37.000 3.742 0.000
"363" 4.042 48.14 37.000 2.021 0.000
